제목,가수,가사
"공상과학기술 (Feat. 기리보이, 스윙스) (Prod. 기리보이)","나플라 (nafla), OLNL (오르내림), 오디(ODEE)","공상과학기술
공상과학기술
공상과학기술
Science
공상과학기술
공상과학기술
공상과학기술
Science
공상과학기술
공상과학기술
공상과학기술
Science
공상과학기술
공상과학기술
공상과학기술
Science
아이폰속 메모 잠금 풀어
장르는 SF technology
나의 동공안엔 가상현실
vr체험 내게 facetime call
Science box 까던맛에 살던
열살의 SLY는
Science artist 연구를 하지
음악과 침대는 과학
우야 난 실현해 공상
우야 실험비는 내 몸값
우야 내 미래를 공사해
우야 우주선에 도착
Im in 곤돌라 달을 넘어가
어디서있던간 난 미친듯 올라서
우야 난 지극히 정상
지극히 정상 지극히 어
내 fantasy환상
fetish 짤리지 않지 no tumblr
너의 열여섯 마디는 날 띄워줘
thank you bro 계속 써줘 염력 어
공기위로 난 걷고
내 발밑에서 커지는 업보
한대로 적고 일들을 벌려
배워놓은 기술 sci-fi 전공
실험실엔 iqos의 연기
머리속에 비이커는 늘 넘치지
자고일어남 폐기처리
이뤄버린건 쓸모없으니
되는 놈이 되는 현실
남들 상상 그 위에 누웠지
내 과건 니 현재의 논리
공상과학기술자의 knowledge
공상과학기술
공상과학기술
공상과학기술
Science
공상과학기술
공상과학기술
공상과학기술
Science
공상과학기술
공상과학기술
공상과학기술
Science
공상과학기술
공상과학기술
공상과학기술
Science
빨간머리
유일하게 벌어 바구니에 돈
다른 랩퍼완 거리
차이나 오늘도 바쁘게 난 work
나의 랩에
따라부어
컵에 넣어 술
아님 coke
it's na to fla
내가 오면 바뀌는 분위기
i know
나를 봐
저만치
i dont speak
up
na 오면
rapper들의 실험실
they pick up
봐봐 제대로 하는 짓
색다르게 하는법
미국물마시고
하는 방식
oh boy I fuk it up
간지나 fit
kill em beats
uh
벌어 내 cheese
스윙스 기리보이 와
정상을 찍어
i win
채워가 pocket
돈 훔쳐서 멀리로 가지
때가되어서 음악해
yall doin nothing
it's nothing
na to the fla yeah
직업병이라
i'm always pedal to the top
yeah 매일 마다 음악 기술이
나는 올라가
na to the fla
나는 여전히 좀 많이 바빠
공상과학
투명인간 돼서 너를 몰래 간지럽혀
투시 안경 쓴 너에게 얼마안가 걸려
타임머신 티켓2장있어 같이갈래
나는 상상을 현실로
바꾸는 생각을 매일해
OYEAH
머리속은 like SF hey hey
뭔가 떠오르고 빛나네 hey hey
마침내 그걸 잡을때 hey hey
그위에 올라타고 우주비행비행비행
SF 영화배우 CG 로 전부채워
film by 외계0개국어 GR BOY
SF 영화배우 레이저 총을 피융
film by 총괄감독 스윙스필버그
영화는 끝나가는데 나는아직다
먹지못했어요 팝콘
괜찮아 타임머신을 타고
돌아간다음에
사이즈를 바꿔
어릴때 처음 봤던 ET Speilberg
쥬라기 공원 my worst
nightmares did come from his works
그 작품들이 한 person
의 인생을 조형
science fiction 우주선
은 곧 이제 우리 현
실이 될거라는 걸
누가 오늘 부정하겠니
이젠 자가용 비행기 타고
편의점서 과자를 사겠지
알약 몇개만 삼키고선 암 퇴치
하복 입은 짝궁 놈의 암내 please
내 수용력만 한계지
anything is possible
shout out to Adidas
나는 밥그릇과 수저
pulling up to feed us
VR 안경 끼고 구경가지
태아 영어로 fetus
clone 8명의 스윙스 또 8명의 기리
우주선도 집에 놔둘래
walkin on a cloud
그럴때면 절대
손오공도 부럽지 않아 yea
같은 공간 다른 시간 혹 걍 아예
같은 공간에 다른 차원도 다 갈래"
"패 (Feat. 넉살, 딥플로우)","김효은, Chaboom, EK","까 보여줄게 내가 가진 패 패 패
니들 돈 다 뺏어 ye ye ye
우린 밑 장 안 빼 빼 빼
다 퉤 퉤 퉤 다 패 패 패 
all in  내가 가진 패 패 패
니들 돈 다 뺏어 ye ye ye
우린 밑 장 안 빼 빼 빼
다 퉤 퉤 퉤
그럼 내 패를 까볼게 
누가 못 까불게
다 구라나 나불대고 
식은땀을 빼 난 걍 학을 떼 
판돈이 double 되고 
딴 내 몫을 담을 땐
혓바닥 숨겨 말 없게 
개평은 따로 떼 
인생은 도박이고 
맛이 달콤한 건 잭팟
누군 독박 쓰고 
상위 소수점의 대박
누군 때가 돼 그 때란 바로 
지금일 지 누가 앎
패를 까보자 자 
누가 왕 누가 왕 119 
다 따먹어버려 온통 맛집 맛집
우린 그녀들 없이도 
홍콩 갔다 왔지
자 한 탕 쳐보자고 
로스 몫까지 챙겨 담아 
여긴 트리플세븐 몹쓸 노다지
게놈들을 깔아 뭉개놓고 패 
내 목소리로 
숨죽여 놓고 꺼내지 다음 패 
뜨고 싶어 타려고 해 
우리와 한 배 넉살도 좋게 
우리는 Deep 하게 
더 가라앉아 bish
감히 조종도 못 한다고 
이 거북선 ay 
감당하라고 이 전투력 ay 
수위만 높아져 더욱 더 ay 
수위만 높아져 더욱 더 ay 
니들 태양도 곧 저물어 ay 
파도가 넘치니 겁을 먹네
고추 뗀 새끼들은 f--kin' suck 
내 꺼나 빨게 하고 팽
다시 네 세상을 
엿 먹이고 쏴대 bang 
네 여왕님은 무서운 줄도 알지 핵
ㅂㅅ 이해를 못 해 
고개나 끄덕거리면서 
궁금하시지 내 눈동자가 퀭
까 보여줄게 내가 가진 패 패 패
니들 돈 다 뺏어 ye ye ye
우린 밑 장 안 빼 빼 빼
다 퉤 퉤 퉤 다 패 패 패 
all in 내가 가진 패 패 패
니들 돈 다 뺏어 ye ye ye
우린 밑 장 안 빼 빼 빼
다 퉤 퉤 퉤
ready for war yo 
베팅해 네 credit card
chopping 해 
이 16bars with ya 
honesty 묻고 double로 가
I'm a playa 
so I'm playin this til' 
월요일부터 24/7 
쫄리면 뒤지든 빠염
I lovin this 쉿 
I'm so good at this 쉿
죽이지 손에 든 카드에 
그림이 모나리자를 바르지
고거 참 예쁘네 예림이 
그 패 봐 혹시 장이야
이제 내 미래 배춧잎 
한 가득 매일 김장이야
check check check my calendar 
call call call my manager
all in 더 크게 쌓아 
도박사 state of mind
쌍피 떴다 38 광땡 섯다 
여기 홍콩 머니 
핑퐁 벨 딩동 xiexie
Most Badass Asian 신의 선택
이제 벌여 전쟁 
이게 내 패 대체 왜 넌 랩 해
부숴 대책 oh u got plan
이 봐 밑 장 손 떼 선생 맴매
내 랩 성배 내 패와 건배
랩 하며 벌래 패배완 멀기에
맨 첨이 존재하니 변화 뒤에 현재 
걘 포기하고 난 살아남은 채 
who game set huh
참았다 풀어 난 회포 
절정이 되게끔 paper 
너무나 예쁜 flow so deeper 
넋없이 잘려 
내 적들의 두개골 위에서 춤 춰 
여전히 바닥이 출처
거짓말쟁이들 검거 
성공 덕분에 이뤄내 목표
까 보여줄게 내가 가진 패 패 패
니들 돈 다 뺏어 ye ye ye
우린 밑 장 안 빼 빼 빼
다 퉤 퉤 퉤 다 패 패 패 
all in  내가 가진 패 패 패
니들 돈 다 뺏어 ye ye ye
우린 밑 장 안 빼 빼 빼
다 퉤 퉤 퉤
버려 버려 니가 가진 패 다
버려 버려 니가 가진 패 다
패 버려 버려 패 버려 버려 패
패 버려 버려 패 버려 버려 패
버려 버려 니가 가진 패 다
버려 버려 니가 가진 패 다
패 버려 버려 패 버려 버려 패
패 버려 버려 패 버려 버려 패"
Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, 키드밀리 (Kid Milli), 루피 (Loopy), 코드 쿤스트 (CODE KUNST)","낮엔 파란 하늘 별이 보이는 밤
기분 좋은 날 오랜만에 모일까
내가 살아가는 삶을 정말 
사랑하지 나는
기분 좋은 날 오랜만에 모일까
Ooh ya ya ya ya yah
Ooh ya ya ya ya yah
Ooh ya ya ya ya yah
기분 좋은 날씨야 오랜만에 모일까
I just wanna chill with my homies
하얀색의 모래 또
파란색의 물 위엔
파도들이 쭉 밀려오지
전화해서 잡아둬 펜션
이미 올라온 텐션 yea
I don't care
모아둔 돈을 깨
Lotta cash
얼마든 I'm okay yea
비싼 옷 빼
입어 cuz 
It's a good day
많고 또 많은 스트레스는 어려워
때로는 정답을 몰라 
Sometimes I feel like I'm at war
Oh no 
but I know it's gon be alright
yea
바다로 올라 태워 가자 boat ride
친구들 불러 몽땅
바람 부는 소리
들뜬 맘에 잠을 못자 yea
비싼 옷 빼
입어 cuz
It's a good day
Seoul city 서있어 
난 빌딩 옥상에서 봐
어딘가에 가는 사람들 
그 사이에 사이에 
나 줄처럼 얽힌 우리 삶
거기서 도망쳐 나왔어 
기분은 high with 코쿤 또 팔로
Hola pullup hola 우야 
기분 좋은 날씨야 다 모일까 
Indigo cozyboys 우주로 비행
indigo cozyboys 우주로 비행
인생은 trip but 안해 
trip love 난 필요해 들어 내 1집
인생은 trip 인생은 여행 
눈치 왜봐 걔네말 뻔해
인생은 trip 인생은 여행 
어디든지 가자 ok
내위 높지 햇빛 날씬 좋게
Seoul city 먼진 걷게해
Seoul city rollin 
Seoul city finesse
Building 세우지
내 chain bling cling so
여전히 간지부리지 
바람에 내 금 스치지
Geekin geekin will.i.am 
가득 딴 커피 I'm drippin
여전히 간지불리지 
바람이 체인 스치지
Geekin geekin will.i.am 
언제까지 Till 평생
낮엔 파란 하늘 별이 보이는 밤
기분 좋은 날 오랜만에 모일까
내가 살아가는 삶을 
정말 사랑하지 나는
기분 좋은 날 오랜만에 모일까
Ooh ya ya ya ya yah
Ooh ya ya ya ya yah
Ooh ya ya ya ya yah
기분 좋은 날씨야 오랜만에 모일까
Just another good day 
가지 않아 우울의 늪엔
You see me now 
I'm beamin like Lupe 
대축제
세련된 감각에 플러스해 
지혜로움과 사랑을 덧셈
Yeah I'm a sucker for love 
그런데 conscious해 동시에
번 돈을 멋지게 쓰지 
그동안 난 수고했으니
머리부터 발끝 치장하고 
냠냠 배를 채우지
친구들도 바쁘게 살아 
많이 벌어서 다음번에 쏴라
오기 힘들면 가면 되잖아 
화창한 이 날 화는 내지 마
좋은 기분을 나누고파 
사랑하는 사람들과
이런저런 수다 떨면서 
ping and pong 
주고받는 농담
Just another good day 
가지 않아 우울의 늪엔
You see me now 
I'm beamin like Lupe 대축제
난 원해 더 많은 거 
시간을 담았지
Call ma bro
가지러 가야 돼 손이 난 커
절대로 아냐 그냥 주는 건
여러번 넘어져
But I won't 
필요해 지금 난
너 아님 너
걱정마 여기는
Nobody knows
나를 잘 알어 넌 
Nobody knows 
No doubt
이쁜 옷을 골라
I 'll be at the studio 
I work now
기분좋은 매일이지
Baby with a 검은 머리
나는 느껴 모두를
You can't talk now
난 기분이 좋아 
좋은것만 골랐지
챙겨가 나의 기준은 
높아 저멀리
기분따라 생각나서 
전화를 걸었지
기분따라 생각나서 
전화를 ring ring
나는 싫지 않아 이 도시의 빛
밤은 길지 않아 
gotta go to deep
Gotta go to sleep
Baby don't you leave me
날아가자 날개 달아 윙윙
날아가자 날개 달아 with me
Just another good day ya ya
Just another good day ya ya
Just another good day ya ya
Just another good day ya ya"
키보드 (Prod. By Hansen),기리보이,"웃음이 없지
뭐를 빼먹어서
너가 없어진 건지는
난 몰라
현실은 없지
너를 빼먹어서
너가 없어진 후에
난 달라져
당최 알 수가 없는 느낌
bar에 앉아 같은 걸 시켜
어제 마셨던걸 그대로 시켜
해롱해롱 거려와
당최 알 수가 없는 물질
형체가 없어 잡을 수도 없지
아프긴 한데 나 아프진 않아
네이버에 쳐도 안 나와
허구한 날 나는 술을 목에다가 부어
취한 나의 세포들은 나의 술친구고
다음 날은 아침부터 저녁까지 누워있지
건강 생각하라 하던 너의 말을 무시
건강 생각하라며 그래서 관리하는 거잖아
너가 다 가져가서 관리할 게 없잖아
너가 다 해줘 와서 난관에 봉착
시프트 삼 인생은 원래 원래 혼자
시프트 사 너 땜에 남아도는 거
시프트 오 널 다시 만날 수는 몇
시프트 육 육 이거 하려고
내가 이 짓 하는 거야 
시프트 칠까진 갈 수 없으니까
팔베개를 하고 별을 바라보던 우린
9, 0처럼 그저 괄호 속 안에 묶인
그냥 컴퓨터 화면 속 데이터일 뿐
당최 알 수가 없는 물질
며칠이면 사라져 버려
눈을 뜨면 사라져 버려
너는 날
대체 어떤 형태로 
입력되어있니 궁금해
매트릭스 말고 현실 세계에서 보고 싶어
불같은 너의 품 안에서 이제 녹고 싶어
나는 회로 안에 뒤섞여진 죄수 같아
두 손이 묶여 고개를 떨구며 Hi I’m fine
I’m fine 오늘 업로드된 나의 사진이 주는 느낌
아무렇지 않게 어제 구매를 했던 
옷을 자랑하는 모습
친구 만나 웃는 모습
오늘 이슈를 다룬 뉴스에
댓글을 다는 모습
다 쓸데없지 차피 
너를 만질 수는 없으니까 
그저 허물 안에 갇혀 있지 
문을 열고 밖을 나가면 
해는 밝을 거를 알기에
내가 여기 갇혀 있는 거일지도 몰라 
당최 알 수가 없는 느낌
의자에 앉아 너에게 접속
모래 냄새나는 정보의 바다
해롱해롱 거려와
당최 알 수가 없는 물질
형체가 없어 잡을 수도 없지
아프긴 한데 나 아프진 않아
네이버에 쳐도 안 나와
며칠이면 사라져 버려
눈을 뜨면 사라져 버려
너는 날
대체 어떤 형태로 
입력되어있니 궁금해"
"Skyblue (Prod. By 기리보이) (Feat. The Quiett, BewhY)",기리보이,"난 있어 sky blue
내 검으로 swipe
난 작업을 하고
껌인 듯 알고
아퍼 내 아구
너넨 날 알아도
난 안해 상종
너네는 바부
Don’t judge me 내 그룹
대서양 카메룬
사무엘 에투
무대서 deadpool
코베인 커트 brrr
기타는 없어
없어 난 겁두
그저 매일 마셔 난 벌꿀
속이 다 풀리지 drink 
케익을 핥아라 cream 
이빨보다 안경이 grillz 
이태원 안경점 blink 
오목렌즈 눈 다 보여
기리가 그린 큰 기린 그림 
지도를 펼쳐라 선장
투어를 돌자꾸나
Pussy boi 겁보다 말이 많아서
내 옆엔 안 두지 빨리 나가줘 
Kgvovc 말을 잘 못해도
Kgvovc 너무 잘 나가죠
Kgvovc k는 묶음이야 bro
Kgvovc g는 기리보이요
랩할 기회를 노려 grboy beat
근데 너희는 그냥 지랄뿐이지 
난 있어 sky blue
내 검으로 swipe
난 작업을 하고
껌인 듯 알고
아퍼 내 아구
너넨 날 알아도
난 안해 상종
너네는 바부
I'm in the sky blue
I'm in the sky blue
창가쪽 자리루
Erykah Badu yea
너네는 바부 yea
콰형은 사부 yea
콰형은 갑부 ooh
This shit is freestyle ooh
This shit is freestyle ooh
전 여친과 비슷한 
여자를 strip club에서 봤을 때
기분은 이상해
자식들 노래를 들을 때 
기분은 너무나 식상해
갠적으로 쩌는게 아니면 
못 들어 심해 난 lit 장애
Millionaire Poetry
Bentley u know it's me 
인사해 Hi Q
높아 내 IQ yea
been shootin' this shit with 기리보이 
우리는 쇼미를 미리보네
No.1 master of ceremony
bitch I'm so shinin' like California
난 있어 sky blue
내 검으로 swipe
난 작업을 하고
껌인 듯 알고
아퍼 내 아구
너넨 날 알아도
난 안해 상종
너네는 바부
요즘은 너무나 놀고 싶어
휴가는 언제 가려나 싶어
작업실 건물주 사장님도
쉴 때는 꽤나 멋지게 쉬던데 
여름은 다 갔네 맴맴
소리는 음소거가 됐네
근데 앨범은 언제에
발매해 이건 다 핑계
쉬고 노는 것도 다짐과 결단이
필요해 이제 내게는 증말로 많이
나 지금 의식의 흐름대로 말이 나오네 
이 곡 안에 주제는 없잖아 ya dig?
개소리와 억지 rhyme 허용이 가능한
G R boy beat 안 
비와이와 홍시형 그리고 동갑이형
머리부터 발 CP Company my eyes on the city
모자랑 팔에 달린 고글 그녀 눈동자 앞에서 swish
노스페이스 모델료는 두 차례 입금됐어
다음 건 high brand로 가자
래퍼들은 내가 뭐하는 놈인지
힐끔해 또
난 있어 sky blue
내 검으로 swipe
난 작업을 하고
껌인 듯 알고
아퍼 내 아구
너넨 날 알아도
난 안해 상종
너네는 바부"
"vr (Prod. By Coa White) (Feat. JUSTHIS, 스윙스)",기리보이,"특별하지 않아 어른 flow
배워 애기처럼 걷는 법
각성 해야 하지 얼음 컵
커피 넣어 나는 버릇처럼
버릇처럼 말야 버릇처럼
매일 변해 나는 버릇처럼
행동해야 하지 거물처럼
꿈이 돼야 하지 건물처럼
일층에다가는 커피숍
이층에다가는 뭘 해
삼층에다가는 집을 지어
건물주 맘대로 건물주 맘대로
건물주가 되어 옥상에서
내려다보면 성공 
우주비행 친구들과
함께 하지 성공
안주하는 자세 배워
안주하며 나는 배워
안주하며 욕 하는 새끼들은
지는 법부터 배워
높은 곳을 올려다 볼 땐
목에 깁스 해야 해
여자들이 너무 야할 땐
즐겨 wait
vr 가상현실
vr 가상현실
vr 가상현실
vr 현실
현재 미래 섞어
내 미래를 점쳐
현재 미래 섞어
내 미래를 점쳐
Mama please don't die
드디어 승이가 됐으니까 어른이 ya
내 일상은 공유되지 
SNS말고 친구 가족과의 카톡방에 ya
ILLINIT형이 캐나다에서 보내 가족사진
보며 꾸는 꿈은 진심이야
내 미래는 내 주변에 보이지 그냥 현실
뭘 좀 아는 사람들이 말했네
너 크다 야망이
Whoa hol' up
나도 나태했었지 현실을 적절히
Blend blend 쟤네 brand tag 떼고
한 달 내내 행사 뛰어봤자 no message ayy
내 꿈에 애초에 너흰 없었어
그러니 그들만의 league
I made my own league
Nobody can't take it
그래 나도 포함해서
더 이상 내 이름은 내 것이 아냐 
like Soul Company whoo
아빠 please don't die
내가 지우고 살았던 
기억들이 다시 났으니까
아직까지도 연락하는 
긴 인간관계들 정말 축복이야
Yo fountain에 동전 던져대듯이
Countin' all the blessings
그래 감사해야지 I love you my fans
믿고 눈 감고 따라와 보여줄게
vr 가상현실
vr 가상현실
vr 가상현실
vr 현실
현재 미래 섞어
내 미래를 점쳐
현재 미래 섞어
내 미래를 점쳐
1층에다 Light Green Salad 집
2층에다 10번째 Tipi 
지하 club burn more calories 
일과 놀이 이런 balancing 
건물 전체가 내 palace지 
선의의 경쟁 기리 challenge me
우주비행도 내 가족이야 
so 옥상에다 지어 착륙장 
IMJM baby we don't stop 
IMJM baby we gon pop 
IMJM Star Wars 
Sky Walkers 위의 맨 위의 맨 위로 가 
어떻게 내가 널 위로함?
어떻게 우리 같이 놀아?
같이 놀고 싶으면 upgrade 해 
힘 써줘 이 금나무 같이 뽑아"
BE I,B.I,"쇼는 시작됐고 음악은 흐르지
밀려오는 부담감에 
식은 땀이 흐르지
누군 긴장이 풀릴 때 
다리에 힘이 풀리고
차분한 척 가사를
되새김질해 수 없이
리듬과의 기 싸움에서 진 뒤
돌아가는 길은 공기마저 무겁지
따가운 시선과 대중의 손가락 질
I know what they ganna 
say shit about me
운발로 올라간 애 
회사발로 살아난 애
저 새끼 가사 절더니 
객기 부리고 발악하네
랩퍼들의 서바이벌에 
웬 예쁘장한 아이돌 
이젠 우습지도 않아
까일대로 까인 놈 That's me
최고가 나의 목표
But 현실의 결과는 항상 
최악 아님 보통
떨어짐과 동시에 새로운 
시작하는 폭포 That's me
MIC check 1 2 My name is BI
쇼는 이제 시작 이제 나의 시간
너넨 이제 뒤로 뒤로
나는 이제 위로 위로
MIC check 1 2 My name is BI
Hater들아 미안 이제 나의 시간
Everybody say oh
Everybody say oh
이제 난 지금까지와는
각오부터 달라
벌써 가진 게 좀 많아서 
굳이 부담 갖지 않아
할 일이 너무 많아 
절대 불안하지 않아
Call me Brake 날 밟는다면
네 앞 길을 막아
아무리 목을 졸라도 
난 숨이 붙어있지
좀비같은 근성 날 보면 숨어있길
걷 잡을 수 없이 겉 도는 것들 재끼고 
저긴 다 그저 한 겨울의 
잔디밭 풀이 죽어있지
Blaw 내 실력은 무시해 중력
다들 어떻게든 해 보려고 
애써 머리 굴려
But 난 그냥 즐겨 여유 있는 태도
뭘 해도 될 놈 이게 나의 운명 uh
남 욕 할 시간 있음 어서 
거울부터 봐봐
일단 답 없는 네 모습에
해답부터 찾아
내 실력이 뭐가 어째 이젠 
우습지도 않아
난 여기서 있지만
너네들 보단 뛰어나
MIC check 1 2 My name is BI
쇼는 이제 시작 이제 나의 시간
너넨 이제 뒤로 뒤로
나는 이제 위로 위로
MIC check 1 2 My name is BI
Hater들아 미안 이제 나의 시간
Everybody say oh
Everybody say oh"
Flex Forever (Feat. CHANGMO),The Quiett,"Prima Vista
put em on the map now
the best a man can get now
바랬던 모든 것을 이룬 뒤
여전히 목표들을 노려봐
공연 뒤에 workin over time 
오늘 밤도
많은 것을 지났지만 
still got many plans
한도를 채우고 
난 다시 벌어 100 bands
모든 걸 가졌으니 
baby i'm so flexible 
너흰 흉내 낼 수 없지 
아무리 애써도 
요즘 잘난 자식들이 
쌔고 쌨어도
뛰는 놈들 위에 나는 놈의 
master flow
uh 걔들 랩이 
식상 해져 갈 때쯤
난 또 하나의 작품이 
완성되지 대충
나의 bars 만큼이나 
모여가는 배추
훗날 광명 5동에 세워줘 
나의 statue
ay 기다려왔네 완벽한 timing
ay 밝게 빛 날 순간을 
like diamonds
내 성공에는 필요 없어 가면
오랫동안 머릿속에 
그려왔지 이 장면
겸손은 어려우니 
i'ma flex on em
정상에서도 
do it to the max on em
그때 그들은 
안될 거라 했었네
허나 지금 내가 세상의 
한가운데 서있네
small city big dreams
영원히 i'll never quit flexing
small city big dreams
영원히 i'll never quit flexing
종이 세 forever yeah 
I flex forever
그저 영원하기를 
마치 wu tang forever
나의 모든 걸음 
최고의 선택 또 새로운
아침을 맞이해 
어제처럼 다시금 flex
Ambition boy 
때론 열정 땜에 삭신이 꽤
쑤시곤 하지만 난 
피 끓는 스물다섯인 애
매일 자라는 새 문제 
걱정거리와 내 수많은
적 허나 
그럴 때일수록 chin up
Get ready ready set go blood
아무도 반박 못해 
난 전국적인 랩 스타라고 불려
나 성공에 대해서라면 스토커
나의 꿈을 위해 박지성처럼 
매일매일 뛰어부렀고
여기까지 왔지 
yes sir now I'm here
팔당 아래 출신 꼬마 
이젠 신사네
나는 여기까지 왔어 
yes sir now I'm here
돈 벌어 아래 출신 
꼬마 이젠 신사네 
chin up
겸손은 어려우니 
i'ma flex on em
정상에서도 
do it to the max on em
그때 그들은 
안될 거라 했었네
허나 지금 내가 
세상의 한가운데 서있네
small city big dreams
영원히 i'll never quit flexing
small city big dreams
영원히 i'll never quit flexing
say good bye to old money 
새로운 것을 원해
어제완 다른 내가 
서있곤 해 거울을 보면
i shine so bright 
필요 없어 조명
내 음악들로 그리고 있어 
내 삶의 도면
music에서 glow forever
13년째 올라가지 
더 높은 대로
sky's the limit 
걱정 안 해도 돼 
baby no matter 
고갤 들고 너의 기횔 잡아 
get up and stand up yea
겸손은 어려우니 
i'ma flex on em
정상에서도 
do it to the max on em
그때 그들은 
안될 거라 했었네
허나 지금 내가 세상의 
한가운데 서있네
small city big dreams
영원히 i'll never quit flexing
small city big dreams
영원히 i'll never quit flexing
i'll never quit flexing
영원히 i'll never quit flexing
영원히 i'll never quit flexing
영원히 i'll never quit flexing"
Switch Lanes (Feat. Coogie) (Prod. Slim Shinichi),김승민,"새벽 4시 새로운 여자에게 i told ya
i'm going now
especially for you wait
switch lanes
너의 모습이 보여서 skrrr
not alright not alright
not alright
사거리 앞 너의 모습이 보여
지난달까지의 니 추억이 오지
아무 일 없듯이 핸들을 돌려
멀어져 가는 널 미러로 보며
새로운 여자에게 전화를 걸어
야 오늘 그냥 쉴게
causes not alright
not alright not alright
i'm wear RAF
you wore RAF
사거리에서 saw you
switch lanes
내 traffic은 오류
다른 거 다 보류
오직 너만이 royal
다른 건 복잡 like goyard
그때 그 시간이
다시 내게로 돌아온다면
날 위해 항상 있어줬던
너에게 전처럼 해주고 싶어
넌 이미 알고 있잖아
baby i'm here for you
너 없인 불완전한 내가
대체 뭘 할 수 있겠어
새벽 4시 새로운 여자에게 i told ya
i'm going now especially for you
switch lanes 너의 모습이 보여서
not alright not alright
not alright
사거리 앞 너의 모습이 보여
지난달까지의 니 추억이 오지
아무 일 없듯이 핸들을 돌려
멀어져 가는 널 미러로 보며
새로운 여자에게 전화를 걸어
야 오늘 그냥 쉴게
causes not alright
not alright not alright
i got no raf
근데 넌 raf
삼거리에서 saw you
switchin lane
you stole my cloth
인스타에 니 옷
부계정으로
널 염탐해야지 또
다시 널 잡았는데
너는 나를 뿌리치고
해외로 도망을 갔잖아
다시 널 잡았는데 시험기간에
넌 나를 뿌리치고 튀었잖아
나한테 상처를 줬으니
똑같이 너한테 두 배로 갚을래
유명해져서 보란 듯이
공개연애할 거야
사실 그리워 니가 키운 푸들도
군대에서 봤던 여자 직접 만나도
근데 우린 다시 돌이킬 수 없는 걸
새로 피워버린 꽃도
이미 꺾어 버린 걸
no no no no 다시 디엠을 보내
no no no no 왜 비공개로 돌려내
no no no no 다시 계정을 파네
no no no no 왜 답이 없어 대체
새벽 4시 새로운 여자에게 i told ya
i'm going now especially for you
switch lanes 너의 모습이 보여서
not alright not alright
not alright
사거리 앞 너의 모습이 보여
지난달까지의 니 추억이 오지
아무 일 없듯이 핸들을 돌려
멀어져 가는 널 미러로 보며
새로운 여자에게 전화를 걸어
야 오늘 그냥 쉴게
causes not alright
not alright not alright"
glofo ii (Feat. ZENE THE ZILLA),The Quiett,"난 돈을 쓰고 싶어서
더 많은 돈을 벌어
이거 봐 이제 내가 내는
멋은 쩔어 야
꽤나 멋진 옷을 입고 거릴 활보
얌마 있지 이건 끝이 안 보여
my money grows forever
my money glows forever
my money grows forever
my money glows forever
친구 널 떠난 그 멍청한 년은 잊어
할 일은 많고 봐야 해 빅 픽처
let's get cheese
like domino's pizza
우린 지폐들로 만들 거야 기차
ktx baby 빨리 벌고 빨리 써
은행 가서 큰돈을 뽑아 엑스칼리버
잠잘 때도 나는 발렌시아갈 입어
동대문에서 옷을
사 입던 날 잊어 오오
슬램덩크로 비유하면 홍익현
ay 별거 안 해도 너는 나를 못 이겨
ay been rich since i was 21
my money fuckin savage like 21
난 돈을 쓰고 싶어서
더 많은 돈을 벌어
이거 봐 이제 내가 내는
멋은 쩔어 야
꽤나 멋진 옷을 입고 거릴 활보
얌마 있지 이건 끝이 안 보여
my money grows forever
my money glows forever
my money grows forever
my money glows forever"
