제목,내용
하얀 나리꽃과 그 바람의 중간 어느 곳에도 치우치지 않는,"견고한 마음이 오랜 평화와 새들의 노래
오직 당신의 아름다움
순전함과 순수함을 준비해야 하는
꽃잎들의 일상과 일함
어느새 풀잎들은
새벽을 만들고
창고에서 괭이와 호미를 가져와
갯벌 같은
은모래의 고랑을 일구어
별을 캐어내고
초승달을 찾아내면
은근과 오래 참음이
붉은빛으로 익어 갈수 있는
아침 햇살의 고움도 같이 넣어
하얀 안개의 입김으로 익혀봅니다
사랑하는 당신이여
그래서 아름다운 날에요
이렇게 마음이 그리운 사람이면
가을처럼
봄이 만들어 놓은
기다림의 네모난 길에서
호호 불며 손끝에 만져진
바람들의 강과 산과 들녘
숲과 나무
골짜기들이 말하고
별들은 나무가 되어 천년의 성안
새들이 둥지가
망대위에 세워지면
멀리 그리움의 노래들이
열매를 맺도록
꽃과 바람의 시작은 멀리 당신의 마음을 봅니다.
이제 바람이 불어오는
근원이 되는
처음 사랑은 온유함이 말하고 있듯이
순수는 그렇게
변하지 않는 열정을 가지고
그리움이 계단마다 별빛을 가지고 당신을 기다립니다"
여름의 심장,"대지의 숨결이 젖은 흙 위로 들썩인다.
참았던 뿌리의 갈증은
빗물 한 모금에 눈을 번쩍 뜬다.
폭염 아래 지친 잎들도
무너지지 않는 진초록 깃발을 흔들고
산 능선을 감싸는 숲의 합창은
가장 짙은 계절의 찬가를 부른다.
어느 둘레길의 고요함이
내 시선 속에 잔잔히 흔들릴 때,
낯설게 빛나는 태양은
생의 강렬한 질문처럼 나를 응시한다.
세상을 온몸으로 받아내는 숲
그 속에서 나는 작지만 단단한 존재로
한 뼘씩 성숙을 향해 뻗어가고
빛을 향한 나의 소망 또한 뜨겁다.
여름은 숨 쉬는 자연의 심장
뜨거운 피가 흐르는 계절의 맥박이며
젖은 생명과 꺾이지 않는 이름으로
그 안에서 나는 다시 태어난다."
길바닥에 고인 물,"밟지 말라, 아프다
살기가 넉넉한데, 나는 길바닥에 떨어져
하루하루 견디기조차 버겁다
왜, 밟아
그래도 살겠다고 모여
산도 넣어보고, 하늘도 담아 보는데
구정물 튀기지 말라
바짓가랑이 더럽히고 미끄러지면
몸 상한다
운 좋아, 높은 자리에 올라
권세를 누리는 자들아
서민 아껴라
길바닥에 고인 물이 먼저 비상하여
나라를 살리는 단비가 되는 줄을
네가 알랴"
시든 장미꽃에 아침 이슬,"동병상련, 천생연분이다
곧
장미꽃은 어둠 속으로 사라지고
이슬은 햇빛으로 나오겠지만
없어지기는 마찬가지
그래야 영생을 기약할 수 있는 것일까
천국이 없으면
거기가 영원인지, 영멸인지도 몰라
새봄이 와도
장미는 장미대로 이슬은 이슬대로
안절부절
영영 헤어질까? 봐, 다시는 못 볼까? 봐
마지막 힘을 다해 엉켜 있는
절절한 사랑 이야기"
사랑,"소중하고 애틋하게 여겨지는 마음
참고 견디며 바라보는 최고의 가치
삶의 가치관마저 신뢰하는 간절함
넘어져도 더 애절한 흔적의 발자국"
오랜 골목길에 별하나 의 시간처럼  혹은 때로는 길을 잃어버려도,"달빛의 마음이 되어
어두운 곳이 있어
두려움이 있어도
그리 상심하거나 낙심하지 않습니다.
언제든
당신이 오시면
마음을 감아
별의 위치에 밝게 빛날 수 있도록
마음에 빈곳
그리움의 견고함을 처음시간으로 만들고 있으니까요
꿈과 용기
그리고 홀로 서있는
바람과 안개 아지랑이는
사물을 아름답게
생각을 정교하게
꿈의 터널에도
장미처럼 화려하지 않아도
향기의 모퉁이
마음을 기댈 수 있는
가시가 있는 생각
손끝으로 만져 볼 수 있는
고고함과 순결함의
오직 안개꽃이 가지고 싶어 하는
새들의 소리
울림의 날개를 가지고 있는
나비의 마음을 얻고 싶어
새롭게 만들어 놓은
붉은 색의 그리움 안에도
향기의 진동과 푸르게 마실 수 있는 노래를
당신을 위해
깨어있는 오월의 눈부심으로 준비합니다.
그래서 아름다운 날에요
천사의 마음을 가져오면
장미꽃의 심장
붉게 고백하고 싶어지는
순수로 당신의 꿈도 만져 볼 수 있어서"
배롱나무꽃,"석양 노을에 물들고
다시 새아침을 활짝 열고
석 달 열흘 내내
누님의 백일기도 같은
대웅전 앞마당을 밝힌 염화미소
불심인가, 그리움인가."
왕십리,"세월을 들여다본다
포도재배 사십여 년 세월은 가고
꿈의 고향 왕십리는 아득한데
눈가에 묻어나는 이슬이 서럽다
아홉 살 적 엄마 손 꼭 잡고
울며 떠난 피난길은
흙에 묻혀 살아온 나그네 길
어느덧 왕십리는 잊혀만 가고
내딛는 걸음마다 그리움 자국이네"
꽃은 핀다,"마음만 먹으면 핀다
아름다움 보이고 싶어
벼랑 끝에서도 꽃은 핀다"
유엔군 참전의 날,"붉은 무리 몰려올 때
막아내 준 유엔군
그 많은 나라가 도와줬다
최후 저지선 낙동강까지
밀리고 밀려 나갈 때
용감하게 물리쳐 줘서
우린 지금 여기에 서있다
그 은혜 고마운 마음
한결같이 도우며 살고프다"
상한 갈대,"꺼져가는 등불이 살아나게
기다리시는 사랑의 마음
험난한 세상 물들지 않고
기다릴 줄 알게 하소서
일어설 때까지 상처 입을까
두 손 꼭 잡아주시고
온몸으로 기다리신다"
모래,"밤이나 낮이나
망망대해 바라보고
철썩이는 파도 소리에
장단 맞추다 보면
잠들지 않는 등대 벗 삼아
소박한 행복의 삶 이러라"
인간관계,"인연이 되고
그 사람이 좋거나
필요해서 공들이면
필연이 된다
머릿속에 얼굴이 보이면
보고픈 사람이고
이름이 먼저 떠오르면
잊을 수 없는 사람이다"
슬기,"미련한 자는
자기 손으로 헌다
흐르는 냇물에
몽돌은 되어도
모난 돌은 말자"
선한 사람,"배고픈 사람 먹게 하고
추운 사람 입혀주고
걱정하는 사람 위로하고
끌고 가려는 자 막아서며
넘어지는 자 붙잡아 주고
낙심한 자 희망을 주는 사람
이를 위해 기도해야 하리
선이 악을 이기게 하여
선한 자 복받게 해달라고"
달맞이꽃의 기도,"어디선가 누군가의 숨결이 흐르고
달맞이꽃 피어나는 고요한 밤길
유성의 조각처럼 노란빛 번져
풀벌레 울음 애절한 길섶에
작은 꽃잎 조용히 손들고 기도하네.
지친 마음 쉴 곳 찾아 헤맬 때
그대 이름 가만히 불러보며
어디선가 들려오는 바람의 음성에
묵은 그리움 다시 피어오르네.
밤이 깊어질수록 더욱 또렷해지는
사랑의 흔적과 슬픔의 조각들
한 송이 꽃에 담긴 말 못 하는 가슴
달빛 아래 숨죽여 피어나네.
흔들리며 핀다 해도 외롭지 않아
기다림조차도 기도가 되는 이 밤
그리운 사람 향한 마지막 인사처럼
달맞이꽃 조용히 눈을 감네.
잊을 수 없는 사랑 가슴에 묻고
기다림의 흔적만 남긴 채 사라지네."
순수의 빛과 별처럼 마음에 빈공간이 있어 스스로 채울 수 없는,"당신의 가을
풀잎들이 만들어 놓은
나뭇잎
분홍빛 달빛을 실어
하늘 저편 노을의 창고에 보내면
가을 낫을 가진
무지개는 황금빛 시간을 베어내고
당신의 이슬비가
그리움의 언덕
들판처럼 차곡차곡 한곳에 있는
별들의 숲에는 초록색이 우수수
별들의 나무가
아무런 거리낌 없이 보이도록
가을날에 푸른 하늘
그림 같은
민들레 공책을 하나 가져다 놓아봅니다
그래서 아름다운 날에요
무지개 크레용
네모난 구름 속에 보이는
일 곱색의 신비로움
어느 곳을 동시에 칠해도
그 모습 그대로 단풍잎이 되고
꿈과 열정을 한번에
나뭇가지
당신의 마음에는 동화처럼 매어 달립니다.
꿈에게서 악보를 가져와
새들의 피아노 소리
생각하는 옷을 입히고
마음을 따듯하게 할 수 있다면
그리움의 낮아진
외로움과 애태움도
그렇게 꽃을 기다리다 혼자서
달빛이 되어버린
달맞이꽃의 찻집에는
별이 의자에 앉아
뜨개질로 마음에 쓸 수 있는 따듯함을 주문합니다. 별빛이 들어있는 달콤함도"
분노 폴발,"사회면의 활자들이 묵직하게 출렁인다.
납치 폭력 명예훼손
언제부터인가 익숙해진 비극의 목록들.
사라지지 않는 어둠을 탓하며
나는 또 한 번 세상을 한탄한다.
더러운 세상
짐승보다 못한 인간들이라 욕하면서도
정작 아무것도 바꾸지 못하는
내 무력함이 속에서 끓어오른다.
더러운 정치면은 애써 외면하고
오피니언 면에 시선을 던진다.
그러나 그곳의 목소리도
이론만 넘실거릴 뿐
세상은 여전히 제자리에 머문다.
평화가 어떻고 나랏돈이 어떻고,
평가와 시비만이 남아
더러움은 더욱 짙어진다.
한여름 더위는 반도를 집어삼키고
에어컨 바람도 땀을 식히지 못한다.
세상 돌아가는 꼴이 지독하게 더럽고
연이은 폭염이 목을 조일 때면
거리로 뛰쳐나가
한 마리 광견처럼 울부짖고 싶어진다.
그러나 나는
차마 입을 열지 못한 채
비겁하게 엎드려 자판만 두드린다.
분노만 폭발할 뿐 행동하지 못하는
자신의 한계를 자괴한다."
너에게 가는길,"사람 따라 길이 간다.
길을 따라 사람이 간다.
길은 홀로 비어 있다.
사람 하나 없어도 외롭지 않다.
뻐꾸기 울어줄 필요도 없고
바람에 나불대는 망초 꽃
몸 흔들어 웃어줄 필요도 없다.
길이 끝나는 곳에 네가 있다.
발길 멈추는 곳에 사랑이 있다.
먼 길 터덜대는 나귀방울처럼
발길에 차이는 침묵만 안고 가자."
끝이 아니야,"당신이 할 일은 딱 한 가지!
끝이 아니야
벽에 부딪혀 무너졌을 때
접힌 무릎을 보며
당신이 할 일은 딱 한 가지!
당신은 당신 자신에게 말할 일이다
끝이 아니야
기억할 일이다
끝은 내 마음 안에 있는 것,
내가 만들어 내는 일이란 것을
기억할 일이다
내가 내 마음에 허락하지 않으면,
끝이 아니야
기억할 일이다
성공은 단단한 실패 위에 세워진
눈물의 탑이란 것을
백 번을 넘어지면
백 한 번 다시 일어날 일이다
끝이 아니야!"
잘 익은 사람,"혼잣말처럼 돋아난 민들레
이끼 낀 담장에 쌓인 지난 계절의 냄새
누군가 울다 만 자리처럼 눌려있다.
허리 굽은 노인이 이른 저녁을 삼키고
골목을 끌고 가는 슬픈 발걸음 소리
바람 따라 넘어간 노인의 모자는
플라타너스 그늘에 웅크린 고요를 덮고
오래된 포스터 한 장
누렇게 말라붙은 얼굴 하나 펼쳐놓고 있어
익을 대로 익은 활자들이
목젖 아래 천천히 가라앉을 때면
두 손으로 감싼 찻잔에서
김이 아니라 오랜 기억이 피어오른다.
낡은 벽시계는 항상 제자리에서
하루를 여러 번 넘기고 있고
그 앞에 멈춘 그림자는
이름 모를 아이의 웃음으로 번져 간다.
이따금 오래된 나무 의자에 앉아
자신을 벗기는 법을 배워가는 저녁
그렇게 한 사람이 조용히
조용히 익어가고 있다."
여름 소나기,"먹구름에 질식한 저녁은
스스로를 가리고 있다.
삶은 조금씩 마모되는 연필심 같아
어떻게 깎아야 할지 몰라
고민만 깊어진다.
어깨 위엔 숫자와 이유 없는 침묵이 눌리고
헬륨 풍선처럼 부푼 물가의 고공에서
하루를 짊어진 발걸음은 무겁다.
누군가의 웃음은 광고판에만 남고
길거리엔 감정마저 현금처럼 인출된다.
여름 폭염이 피부에 눌러붙어
소나기 한 줄기를 간절히 기다릴 때
갑자기 바람은 숨을 거두고
하늘은 큰 울음을 터뜨린다.
폭포처럼 쏟아지는 소나기
저건 비가 아니라
참아온 이 땅의 뜨거운 눈물일 것이다.
초목은 젖어 더욱 푸르고
말라붙은 감정도 깊은 곳에서 고개를 든다.
나는 젖으며 살아 있음을 깨닫고
고통은 사라지지 않지만
흠뻑 내리는 빗물에 의미가 깨어난다.
빗방울 멎고 고요해진 하늘 아래
대지와 함께 다시 숨을 고르며
가벼운 마음으로 세상을 바라본다."
오지 탐험,"두메산골 맑은 계곡물 흐르는 정취
자연이 그려놓은 멋진 풍경 즐기며
숲속길 산능선 이어지고 품은 산자락
사람의 손길이 닿지 않는 산골짜기
어울리며 살아가는 향긋한 들꽃되어
감히 흉내낼 수 없는 자연미 갖춘 채
아름다운 경치 보고파 찾아나선 산행길"
나는 나를 알고 있을까,"일출과 일몰, 저네들은 알고 있을까
자신들이 밤낮을 여닫는 하루라는 걸
파리 모기 유충들은 알고 있을까
자신들도 신의 피조물이란 걸
여명과 낙조, 저네들은 알고 있을까
자신들이 그 얼마나 아름다운지."
이항 대립,"누가 대지를 들어 올려 허공에 매달았을까
빛과 어두움 사이에 막간은 없었다.
햇살은 내 오른쪽 뺨을 때리고
그늘은 왼쪽 심장을 물어뜯었다.
여자와 남자가 반씩 내 안에서 살 때
나는 아직 아무 쪽도 되지 못했다.
꽃과 죽음 사이에서
나는 향기도 무게도 없이 홀로 흘렀다.
선이라 불리는 발자국 아래
악은 조용히 무릎을 꿇고 있다.
문화는 너무 많은 말을 흘려도
자연은 아무 말이 없다.
눈을 감으면 나는 바깥으로 터지고
눈을 뜨면 언제나 안으로 무너졌다.
정의는 언뜻 망치 같고
불의가 오히려 내 손을 따뜻하게 했다.
두 개의 달이 겹쳐지던 때
나는 그 사이에서 흔들리지 않았다.
나는 울지도 않고 웃지 않아도
한 줌의 침묵으로 피어났다.
수많은 상처가 상처를 끌어안는 밤
대립의 금 가른 지평선 위로
새벽이 말없이 번져나간다."
너도 나도 초행길,"억만년을 내달려온 길
언제 어디 세월 아닌 적이 있었던가?
강줄기 굽이굽이 물길 모래알
수많은 갈등과 번뇌
모두 다 세월이 빚은 작품들 아닐 텐가
홀로 가는 인생길
너도 나도 초행길."
푸른 하늘의 날,"오늘 처음 알았다, 매년 9월 7일은
'푸른 하늘의 날' 이라는 걸,
한 점의 호수 마당이어라
세월도 강물도 더 맑게 더 푸르게
가을빛 하늘빛으로 흘러라
동심의 눈빛처럼, 청렴한 기상처럼
높고 푸른 하늘 세상이어라."
고운 마음,"위로하거나 공감을 잘하는 것은
사랑의 손길 진심 가득한 일상
사람이 살아가기에 필요한 온정
품위가 깃든 넉넉한 마음의 정경
진솔한 관용 너그러운 베품의 향연
참된 인정 성정갖춘 온화한 행위
상생하며 살아가는 상호존중의 삶"
죽은 도시,"질서정연한 출근길은 장례 행렬일 뿐이다.
관을 실은 차량 행렬이 북적이고
도시의 빌딩들은 화려한 납골당이다.
화장한 시신들이 거리를 활보하고
수의를 입은 자들이 주식을 사고판다.
허세는 마네킹처럼 골목에 서 있고
욕망은 공허한 광고판에 매달려 흔들린다.
진실을 토막 내는 의사당에는
죽은 자들이 가면을 바꿔쓰고 소리친다.
커피보다 독한 위선을 들이켜며
땅에 뒹구는 권세를 혀로 핥는다.
출세라는 유령이 황금 넥타이로 목을 조르고
영혼이 쇼핑백에 팔려나간 줄도 모른다.
하늘은 네온 빛에 질식하고
무거운 고독은 길고양이로 환생했다.
상냥함과 친절은 계산기에서 튀어나오고
사랑의 노래는 계약서 뒷거래가 되었다.
잠시도 쉬지 않는 이 도시에
숨 쉬는 자들이 보이지 않는다."
공룡섬 사도에서,"공룡들은
무적의 힘과 날카로운 발톱까지 갖췄었다
자연과 생태, 암놈과 수놈들까지
어김없이 상존했음에도
끝내
백악기를 극복해내지 못한 채
멸종을 부른 거구들
뚜벅뚜벅 한 시대를 호령했을
아주 오랜 이야기
고고학 자료로
남겨진 발자국마다
녀석들의 거만한 몸집에서
게으른 행동들이 암각처럼 새겨져 있었다
적자생존의 표징이었다."
혼돈,"밤마다 접힌 시간이 뒤엉켰다.
흔들리는 절벽을 붙잡고 오를 때
피멍 든 손바닥만이 대답했다.
밤의 등줄기에서 소름이 돋아났고
깊고 낯선 골짜기는 나를 두렵게 했다.
가느다란 빛마저 희미해져
허공은 내 손을 잡아주지 않았다.
친숙한 얼굴이 문득 어색해졌고
익숙한 미소 속에 칼날이 번뜩였다.
맨 처음의 신뢰는 무너졌고
나조차 물 위의 그림자처럼 흩어졌다.
도전은 웅장한 북소리 같았지만
결과는 바람의 장난처럼 무심했다.
일으켜 세우려던 사다리는 흔들렸고
발밑은 언제나 무너지는 탑이었다.
뛰어든 끝엔 또 다른 수렁이 있었고
그 외침은 낯선 메아리로 돌아왔다.
혼돈은 멈추지 않는 파문으로 번졌고
나는 종잇장처럼 붕 떠올랐다.
내 심장박동은 여전히 불규칙하고
하늘과 땅이 맞닿은 땅에 서 있다."
그리움이라는 이름의 따뜻한 고통,"얼마나 정직한가
그리움이여
고요히 가슴에 묻어두고
혼자 앉아 꺼내어 보는
표지가 뜯겨나간
낡은 앨범처럼 너덜하지만
오래오래 쓰다듬어
달콤한 별사탕처럼 반짝거리는
얼마나 따뜻한가
이 그리움이라는 고통이여!"
기다리는 날,"들길을 걸었다.
보고 싶은 날에는
흰 구름을 보았다.
그러다가
그러다가
꿈을 꾸었다.
꽃길을
한 아름 안고 오는
너의 모습을"
방황,"너는 내 이름을 모른다.
나는 네가 불러보지 못한 이름이다.
나는 오로지 침묵할 것이다.
한 시절 나였던 존재의 그림자가
십자가 그늘 아래 앉아 울고 있다.
왜 그 자리에 앉았는지
나는 그림자에게 묻지 않았다.
나는 멀리서 바라만 볼 뿐
잊힌 약속들은 시간의 발 밑에서 부서지고
꿈은 언제나 누군가의 얼굴을 하고 사라졌다.
누구도 독점할 수 없는 시간 사이로
나는 내 등을 떠밀었다.
시간이 없다고 말하는 것은
시작이 없었음을 감추기 위한 핑계다.
고인 웅덩이를 깊이 들여다보다
흙탕물에 비친 내 모습에 고개를 돌렸다.
내가 어디쯤 와 있는지 궁금한데
누구에게도 물을 수 없다.
나의 위치를 정확하게 아는 건
바닥에 붙어 핀 민들레꽃이다.
민들레는 바람에 흔들리며
그 자리에서 조용히 나를 기다린다."
해당화 추억,"붉게 피어나던 해당화 기억난다.
여름 햇살은 소녀의 뺨에 닿고
바람은 치맛자락을 흔들었다.
사춘기를 넘던 나는 말없이
눈길로만 너의 뒷모습을 더듬었고
이름조차 부를 수 없었던
수줍음이 내 전부였다.
나이는 저 혼자 어른이 되어
너를 잊는 법을 가르쳤지만
저녁 노을 짙게 물던날 해당화는
다시 네 얼굴로 이렇게 피어난다.
그리움은 피지 못한 꽃같아
향기만 남기고 스러지지만
어쩌면 너도 나처럼 문득
내 모습을 떠올리지 않으려나"
연원,"벼랑 끝에서 온몸을 날려
끊어진 물길을 잇고
선녀탕 폭음 속에
득음을 얻고
신령스런 산맥을 휘어 돌아
야생화 들판을 만나고
들국화 감국 벌개미취 구절초
가을비에 흠뻑 젖던 날
빈집 처마 끝
빗소리에 취해
세월의 큰 흐름
물길의 소명마저 깜박 잊은 채
가던 길, 가야할 길
내팽개친 채로
나도 몰라
너도 몰라
오랜 강물로 흘렀나니
자연스레 바다를 이뤘나니."
열대야,"고온다습한 남서풍의 유입으로 인해
밤에도 기온이 크게 내려가지 않아
무더위가 기승을 부리는 폭염의 엄습
밤잠마저 설치게 하는 혹독한 계절
점차 심각해져가는 지구온난화? 영향
전반적인 건강에도 악영향을 미치는
쾌적한 수면 환경 조성이 절실한 시기"
꽃들의 갑질,"가까이 가서 보면
힐끗힐끗 눈웃음을 짓는 듯합니다
바람 불어
방긋방긋 입 벌일 때는
들여다보고 싶고, 만지고 싶다가
바람기 품고 몸 뒤 틀며 춤추기 시작하면
누구나 앞뒤 분간 못 하고 빠져들지요
바로 그때
시침 딱 떼고 멈춰 서는 꽃들
갈 곳 없는 바람은 낙화 한 송이 받아 들고
허공에서 비틀거립니다
바람기 함부로 사용하다가
꽃에게 당한 갑질, 꽃에는 없는데
사람에게는 있다고 꽃뱀, 풀뱀,
조심하라네요"
몽돌 선생님,"책상 위에 올려놓고 들여다봅니다
한쪽이 찌그러진 타원형인데
각진 데가 한 군데도 없습니다
오히려 찌그러진 곳이 더 매끄럽다고
빛을 냅니다
바람과 파도에
상처를 치유하는 놀라운 지혜가
세상살이에 시달린 내 마음의 멍 자국-
불만, 불안, 초조로 가득한 내 삶을 짚습니다
너무 무겁답니다. 크답니다.
부, 권세, 명예와 같은 각진 것들은 버리고
세상 바람 앞에 알몸으로 서 보랍니다
그래야 나처럼 된다는
성육신한 몽돌의 말씀, 선생님입니다"
도시의 7월,"먼지마저 금빛으로 물들이고
아스팔트 위로 달려가는 더위는
잊혀진 꿈처럼 자꾸만 번진다.
에어컨 실외기의 숨결 아래
지친 오후가 무너져 내릴 때
휴대폰 첫화면 바다 풍경에
어린 날의 여름이 떠오른다.
한낮 햇볕에 지친 빌딩 그림자
길게 늘어져 무언가를 기다리고
서로의 어깨에 내려앉는 피로와 희망이
한여름의 바람결에 실려간다.
밤이면 네온사인에 물든 창문마다
고단한 하루를 접는 안식이 흐르고
이렇게 도시의 7월은
뜨거운 사랑과 그리움으로 흘러간다."
야생이야말로,"근원인 셈이다
야생이야말로
눈과 비 그리고 구름과 바람의 객지이다
춘하추동을 위한
계절의 여인숙이다
별빛이 총총한 밤
야생의 식솔들 곤히 잠들면
풀벌레 댓잎소리
자장노래 되는,
작은 미동에도
마음 바짝 졸여야 하는
위대한 모성이 존재하는 곳이다
하지만
먹이사슬의 각축장일 뿐이라며
하이에나 같은
약육강식으로 이해하는 이들도 있다
카멜레온 같은
위장술을 말하는 사람도 있다
적자생존을 앞세우며
각자도생을 부르짖는 생각들도 있다
그러나 저러나 삶의 터전인 셈이다
생태 자연의 시간인 셈이다
야생은 오늘도 쉼 없이 진화하는 중이다
45억 5천만년 동안 살아남아
생각 따라 세월 따라
시시각각 진화하는 중이다."
별 셋,"구별과 차별, 그리고 분별
본래, 별은 구별 하나인데
내가 높으니, 네가 높으니 하며 싸운다
남자와 여자가 차별이라고
공용 화장실을 만들어 놓았다
안 그래도
복잡한 인생살기 점점 더 얽히는구나
남자와 남자가, 여자와 여자가
결혼함으로
하나님의 법인, 구별을 없애겠단다
그래 봐라
구별이고 차별이고
별이란 별은 다 없어지고
세상은 점점 캄캄한 밤만 남게 되거니
오, 하나님 나에게 분별의 영을 허락하옵소서"
