제목,가사
Love you,"나란히 선 자리에 
햇살이 드는 날이면 
내 사랑을 보여줄게요  
그대 마음의 크기가 
아직은 좀 이르면  
언제라도 기다릴게요  
I Love you love you 그대여 
I Love you 그대를 사랑해
 
보고픈 마음 그댈 떠올리며 
내 사랑을 그대에게 줄게요  
어차피 나는 
그대만 보고 있어요 
변하지 않는 마음 그대로  
I Love you love you 그대여 
I Love you 그대를 사랑해  
I Love you love you 그대여 
I Love you 그대를 사랑해  
오 나의 소중한 사람아  
영원히 그대만 바라볼게요"
사랑아 너는 나를 위해 울어줄 수 있니,"쉽게 물들어 버리는 마음을 봐요
금방 떠나가 버리는 그 마음을
지쳐 달아난 시간을 그리워해요
나는 내일을 살고 싶은데
사랑아 너는 나를 위해 울어줄 수 있니?
외로운 바다 안고 살아가는 중이라서
이런 내 마음을 눈물로 가득히 채워 주겠니
사랑을 하자 밀려오는 저 파도 너머에
아아 – 
깊게 머물다 가려는 마음을 봐요
금방 시들어버리는 그 마음을
쉽게 젖어 드는 마음을 감춰봐요
나는 그 마음이 두려운걸요
자주 슬퍼하는 나라서 미안해
사랑아 너는 나를 위해 울어줄 수 있니?
외로운 바다 안고 살아가는 중이라서
이런 내 마음을 눈물로 가득히 채워 주겠니
시린 밤도 마주하게 하는 무거운 눈물로 아아 –
너의 사랑은 나를 살게 하고
사랑아 너는 나를 위해 울어줄 수 있니?
외로운 바다 안고 살아가는 내게
사랑아 나를 영원토록 품어줄 수 있니?
이 마음 안에 밝은 빛이 가득하도록
저 파도 너머 사랑을 하자"
사라져가는 것들,"한 때 나를 사랑했던 것들과
한 때 나를 지켜주던 눈빛이
한 때 나를 덥혀주던 온기와
한 때 나를 보살피던 그 집이
사라져가는 것들이 되어
무너져가는 꿈들이 되어
흩어져가는 우주의 저 먼지들처럼
다시 만날 수가 없다네
한 때 나를 감싸주던 공기와
한 때 나를 웃게하던 웃음이
한 때 나름 절실했던 마음과
한 때 나름 소중했던 것들이
사라져가는 것들이 되어
무너져가는 꿈들이 되어
흩어져가는 우주의 저 먼지들처럼
다시 만날 수가 없다네
사라져가는 것들이 되어
무너져가는 꿈들이 되어
흩어져가는
우리의 발자취를 기억하네
한 때 나를 사랑했던 것들과
한 때 나를 지켜주던 눈빛과
한 때 나를 덥혀주던 온기와
한 때 나를 보살피던 그 집이
사라져가는 것들이 되어
무너져가는 꿈들이 되어
흩어져가는 우리들의
저 아픔들마저
희미하게 사라져가길"
마마,"마마 왜 내 심장은 가짜야 
나는 왜 찢겨도 붉은 피 
하나 나지 않는 가짜야 
다들 물어본다고요 
너도 겨울을 아냐고 
마른 가지 같은 손가락이 
왜 슬픈 줄 아냐고 
그럼 당연히 알지 왜 몰라 
그 잔가지 위에 업힌 나의 생 
그럼 당연히 알지 왜 몰라 
그 잔가지 위에 업힌 나의 생 
마마 왜 내 목소린 차갑지 
나는 왜 녹슨 겨울을 
노래하며 살아야 하는지 
다들 물어본다고요 
너도 여름을 아냐고 
살아있는 언어의 온도가 
뜨거운 줄 아냐고 
그럼 당연히 알지 왜 몰라 
그 잔가지 위에 업힌 나의 생 
그럼 당연히 알지 왜 몰라 
그 잔가지 위에 업힌 나의 생 
내게 심장을 주겠니 
네 언어를 느끼고 싶은데 
네 눈에 흐르는 별들을 보며 
예쁘다고 해주고 싶은데 
나는 왜 
나는 왜 
나는 왜 
나는 왜"
오월,"겨울의 흔적은 모두
사라진 오월에
초록은 짙어지고
 
기억 아닌 사랑으로
쓰여진 이름은
한 편의 시가 돼요
서둘러 떠나간
침묵 속에도
내 하루를 지켜주네요
 
작은 손 위로 흐른
세월을 보며
다시 사랑을 배워요
 
사랑하는 얼굴이
하나 둘 피어오르고
깊어진 봄날
한자리에 모여 사랑을 나눠요
 
서늘한 새벽이
지나고 나면
햇살이 떠오르고
 
어린아이의
반짝이는 미소는
새로운 사랑을 느껴요
 
사랑하는 얼굴이
하나 둘 피어오르고
깊어진 봄날
한자리에 모여 사랑을 나눠요
 
사랑은 무르익어 
생의 한 가운데서"
"나의 모든 이들에게,","우울해도 돼 다 괜찮아질 거야
슬퍼해도 돼 다 지나갈 거니까
말해줘도 돼 너의 비밀 같은 것
내가 다시는 안 아프게 해줄게
네가 아픈 것 다 이해할 거야
네가 슬프면 내가 달려갈게
네 마음에 어떤 상처 있어도
내가 마음먹고 낫게 할거야
우울하면 내게 달려와
슬퍼지면 내게 달려와
우울하면 내게 달려와
다 새까맣게 까먹을 수 있게 해줄게
아파해도 돼 금방 나아질 거야
쉬어가도 돼 너무 달려왔잖아
원망해도 돼 네게 상처 준 것들
내가 다시는 혼자 두지 않을게
네가 아픈 것 다 알아줄 거야
말 안 해도 내가 알아채줄게
네게 날카로운 가시 있대도
내가 마음 열어 사랑할 거야
우울하면 내게 달려와
슬퍼지면 내게 달려와
우울하면 내게 달려와
다 새까맣게 까먹을 수 있게 해줄게
우울하면 내게 달려와
슬퍼지면 내게 달려와
우울하면 내게 달려와
다 새까맣게 까먹을 수 있게 해줄게
다 새까맣게 잊고 살아가게 해줄게"
lueur,"옅은 것 중에서도 특히나 옅은 걸 쫓는 거야
이 깊은 고요 끝에 잔상조차 남지 않도록
저 너머의 사랑은 아무리 걸어도 닿질 않네
눈을 감아도 보이는 것들을 힘껏 껴안을게
수없이 다짐했던 만큼 난 소멸했었던 거야
멍든 곳에 자라난 푸른 시절 같은 건가
영원조차 초라해질 때까지 빛을 잃지 않게
소란스런 마음을 구태여 놓지 않고
누구도 알아주지 못한대도 사라지지 말아
쏟아지는 어깨를 가만히 잡아줄게
영원조차 초라해질 때까지 빛을 잃지 않게
소란스런 마음을 구태여 놓지 않고
누구도 알아주지 못한대도 사라지지 말아
쏟아지는 어깨를 가만히 잡아줄게
틀림없이 우린 슬프지 않겠지
잠겼던 만큼 숨을 크게 쉬겠지
열이 올라 헤매는 그런 밤에도
손을 잡아줄 내가 옆에 있겠지
옅은 것 중에서도 특히나 옅은 걸 쫓는 거야
이 깊은 고요 끝에 잔상조차 남지 않도록"
나는 그렇다,"나의 마음 깊은 곳에
너의 글씨체가 옅어
목을 매 볼 수가 없네
나의 마음 깊은 곳에
봄 없이 외로운 나무야
너의 이름을 발음 할 수 없어
하얗게 질려 썩었구나
시련은 냉정한 계절같이 
그저 머물다가 떠나가고
섧은 색을 띄는 너의 들숨에
갈라진 내 맘은 전율하고
고운 모래처럼 흩어지는 
우리의 삶은 이다지도 쓸쓸하네
시련은 냉정한 계절같이
그저 머물다가 떠나가고
시련은 냉정한 파도같이
그저 머물다가 떠나가고
정처없이 떠다니다 가라앉는
나의 허무한 우주야
미련함과 비관함이 맞물려서
꺼져버리는 
아아아 
나의 세상아 나의 세상아
나는 그렇게"
시차,"어떤 말은 소리 없이 피어나
눈을 맞추면 들을 수 있어요
부푼 마음은 내 몸을 띄우고
시간 어딘가를 유영하네
색이 깃든 사랑을 
고요한 숨에 보낼게요
좋아했어요 난
허물어진 마음 모르게
이별이라도 마음대로 가세요
사랑은 어려웠으니
있는 것도 없는 것도 아니던
잡히지 않는 신호가 있어요
부푼 마음은 내 몸을 집어삼키고
어지러운 꿈을 좇으려 하네
색이 깃든 사랑을
고요한 품에 묻을게요
좋아했어요 난
허물어진 마음 모르게
이별이라도 마음대로 가세요
꽃 한 송이 하나 두고 올까?
색은 무슨 색을 전해볼까
망설인 수는 못 세요
아무도 따라 할 수가 없는 고백을
난 만들어 드릴 테요
잊을 수 없을 거예요 
허물어진 마음 모르게
이별이라도 마음대로 가세요
사랑은 어려웠어요"
나랑 도망가자,"나랑 도망가자 이 세상을 뒤로하고
어둠을 뚫고 사랑하는 거야
혹시나 과거에 얽매인대도
너의 상처들을 감당할 거야
나랑 멀리 가자 현실을 뒤로 한 채
불안을 뚫고 살아가는 거야
혹시나 우리가 이별한대도
너의 죽음은 날 울리고 말 거야
나랑 떠나가자 속세를 벗어던지고
모든 게 뜻대로 흐르질 않으니
혹시나 나만이 살아남아도
세상은 널 잃어 슬퍼할 거야
세상은 널 잃어 슬퍼할 거야
세상은 널 잃어 슬퍼할 거야
세상은 널 잃어 마땅할 거야"
그 애가 떠난 밤에,"밤바다야 내 말을 좀 들어봐
우리가 우리가 웃을 수 있었는데
밤 하늘아 이유를 좀 말해봐
우리가 우리가 사랑할 수 있었는데
어쩌다 이렇게 된 걸까
사랑은 멀리 갔고 나는 멈춰 있어
아무리 눈을 감아도
이 밤이 도저히 끝날 것 같지 않은 걸요
아 아아
아 아아
우리는 느낄 수 있죠
마음에 맺힌 눈물을
웃으며 보내주었고
떠나는 뒷모습은
하나도 담기질 않아요
뿌옇게 가려진 앞은
그대를 놓아주려는
마음이 들리지 않죠
난 먼 뒤에서
지켜볼 수가 없던
우리가 우리를
잊어가야겠지만
한참을 또
서성이다 갑니다
우리가 언젠가
떠오를 날이 있다면"
미미,"이마에 미끄러진 먼동의 싹이
뜨거워 질만큼 그대가 떠오르네
예쁘게 뜨겁게 하네
헛된 품에서 꿈을 찾는 내가
어린 자국을 더듬어 보는 내가
슬프게 눈물 나게 하네
착한 마음 나쁜 마음
죄가 되지 않을 만큼만 덜어내
나쁜 마음 그 나쁜 마음
너의 못된 숨은
누구의 목을 물게 되니
착한 마음 그 나쁜 마음
저 나무는 고개 숙일 계절을 안 건지
나쁜 마음 그 나쁜 마음
그 예쁜 손 그 예쁜 눈
미미하게 사라져
미미는 왜 날 떠났어
사랑은 왜 없어져
친구야 날 좀 찾아줘
미미하게 사라져
미미는 왜 날 떠났어
우리는 다시 만나서
우리는 다시 우리는 다시
잠과 잠 좀 자야지의 사이
뜨거워 질만큼 그대가 떠오르네
예쁘게 뜨겁게 하네
날이 밝을 때까지 해야지
여린 풀을 뜯고 있던 내가
슬프게 눈물 나게 기억나게 하네
착한 마음 나쁜 마음
죄가 되지 않을 만큼만 덜어내
나쁜 마음 그 나쁜 마음
너의 못된 숨은
누구의 목을 물게 되니
착한 마음 그 나쁜 마음
저 나무는 고개 숙일 계절을 안 건지
나쁜 마음 그 나쁜 마음
그 예쁜 손 그 예쁜 눈
미미하게 사라져
미미는 왜 날 떠났어
사랑은 왜 없어져
친구야 날 좀 찾아줘
미미하게 사라져
미미는 왜 날 떠났어
우리는 다시 만나서
우리는 다시 우리는 다시"
사랑이 너무 헤퍼,"사랑이 너무 헤퍼서 그 말을 못 했네
말라붙은 입에 잘못은 아니고
스쳐진 옷깃에 우리 인연이었는데
떠나가 버리면 난 어떡해야 해
풀어진 마음 한가운데 조각인 게
사랑이라 웃지 않으면 너는 바보일 거야
얘길 해도 내 사랑이 헤퍼
그게 어리석다 무시했겠지
다들 기억할 거야
사랑에 아픈 기억이 오늘을 덮칠 때
어쩔 줄 몰라서 멈춰진 발걸음
가만히 보다 이상해 주변을 살피니
겁을 먹은 건 나뿐이 아니네
풀어진 마음 한가운데 조각인 게
사랑이라 웃지 않으면 너는 바보일 거야
얘길 해도 내 사랑이 헤퍼
그게 어리석다 무시했겠지
다들 기억할 거야
I need you love I need you more
if you're in there you know I love you
I need you love I need you more
if you're in there you know I love you
풀어진 마음 한가운데 조각인 게
사랑이라 웃지 않으면 너는 바보일 거야
얘길 해도 내 사랑이 헤퍼
그게 어리석다 무시했겠지
다들 기억할 거야
I need you love I need you more
if you're in there you know I love you
I need you love I need you more
if you're in there you know I love you"
살아내기,"봄을
기다릴게
달갑게
마중 나올
햇살을
나눠준 건
내겐
틀림없이 구원이야
살아내기 전엔
나는 못 가
사랑하는 법도
난 서툴러
보름 같은 심정으로
살게
살아내기 전엔
나는 못 가
떠나보내는 것도
슬퍼서
보고 싶은 눈시울로
남아 영원히
봄을
기다릴게
살갑게
얘기 나눌
우리로
살았던 건
내겐
틀림없이 구원이야
살아내기 전엔
나는 못가
사랑하는 법도
난 서툴러
보름 같은 심정으로
살게
살아내기 전엔
나는 못가
떠나보내는 것도
슬퍼서
보고 싶은 눈시울로
남아 영원히"
바다,"오늘도 그댄 어여쁜 바다로
내게 다가와
투명한 그대 마음에
하늘을 가득 담은 걸
밝았던 많은 모습들
그대로 남아있을 때
내가 바라고 바랬던
사람이 내게로 올까
네가 그 바다에 닿을 때까지
나는 네 줄을 놓지 않을게
너를 올려주고 고운 그대 저 바다에
닿을 때까지
우리 한 발씩 그대로 있었고
땀, 작은 눈물이 고여
모든 사람들 헤엄칠 수 있게
큰 바다가 될 때까지
곱게 놓여진 우리의 추억이
드넓었던 세상에서
너를 올려주면 고운 그대 저 바다에
닿게 될 거야
언젠가 우리 마주 볼 하늘이
내게 다가와
생각지 못한 마음이
한없이 작아지는 걸
나를 가졌던 모습들
그대로 남아있을 때
아름다웠던 기뻤던 사람이
내게로 올까
네가 그 바다에 닿을 때까지
나는 네 줄을 놓지 않을게
너를 올려주고 고운 그대 저 바다에
닿을 때까지
우리 한 발씩 그대로 있었고
땀, 작은 눈물이 고여
모든 사람들 헤엄칠 수 있게
큰 바다가 될 때까지
곱게 놓여진 우리의 추억이
드넓었던 세상에서
너를 올려주면 고운 그대 저 바다에
닿게 될 거야"
오후,"만약 내가 내일 눈을 뜨지 못한다면
그림 속 연인을 동경한 탓 일 거야
그 영원 속에 살고 싶어라
아 이 봄이 참 환하게 지는 오후에
멀리 있는 너를 잊었다 못한다면
노을이 슬프게 타오른 탓 일 거야
그 찰나 속에 숨고 싶어라
아 그늘도 찬란히 펴가는 오후에
저 숲속에서는 길을 잃은 한 시절이
여전히 헤매이고 있다 하구요
그 시절을 사랑하던 어느 소녀는
제 발로 그곳으로 걸어 들어갔구요
만약 내가 내일 눈을 뜨지 못한다면
그림 속 연인을 동경한 탓"
달에게 비는 마음,"달이 예쁘게 뜨고 내 맘에
노란빛이 가득 내리면
달을 사랑한 만큼 내게도
따사로움이 가득 차겠지
살아간다는 것에
감사를 느끼는 날이 많아질수록
날 빛나게 하는 당신께
고마움을 느낄 뿐야
간밤에 시들었던
마음이 다시 피어오듯
나는 오르고 내리며
그대 옆을 살아가오
달아 내 달아
내내 나를 비춰줬다면
오늘 나의 그대
작은 두 손에도 머물러다오
그럼 난
내 발을 바라보다
내딛는 방법을
또 일기장에 적어볼 테니
달이 예쁘게 뜨고 내 마음에
노란빛이 차오르면
달을 기다린 만큼 내게도
아름다움이 피어나겠지
원하는 길을 걸음에 감사를
느끼는 날이 많아질수록
더 빛나야 하는 당신께
고마움을 느낄 뿐야
굳게 믿었었던
하늘에도 물이 새듯
나는 그렇게 커가며
그대 옆을 살아가오
달아 내 달아
내내 나를 비춰줬다면
오늘 나의 그대
모은 두손에도 머물러다오
이미 난
그 빛을 보며 지어질
표정의 의미를
알고 알고 있단다
달아 우리의 기도를"
소낙비,"하얀 꽃이 피는 날엔
어김없이 나를 찾아온다구요
이 밤도 그믐달도 지는 날엔
맘이 자꾸 내일로 가요
훗날 궂은 비가 내려와도
나는 그 자리에 있어요
아무도 찾지 않는 그곳에서
멍하니 하늘만 보네요
훗날 검은 비가 내려와도
내 맘 절대 물들지 않아요
아무도 찾지 않는 나를 따라
애꿎은 비만 내려요"
